94adccba-8099-49d9-937a-0051c782438c 304 ::1 GET /call-logs 159.396 [Mon, 11 Oct 2021 09:11:51 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.71 Safari/537.36]
d0903860-0fb8-4cf7-ad38-af091380dd0b 200 ::1 GET / 145.975 [Fri, 15 Oct 2021 13:20:18 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
811c86fc-159d-42a6-9372-7ff92c19f56c 302 ::1 POST /login 307.615 [Fri, 15 Oct 2021 13:20:26 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
e59113a5-70fd-4c82-93a3-c7996d93e34f 200 ::1 GET /call-logs 34.314 [Fri, 15 Oct 2021 13:20:26 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
385c4a1f-9b31-4524-a1a1-5d1c86e72b3d - ::1 POST /call-logs - [Fri, 15 Oct 2021 13:23:01 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
646c7bb2-6da2-446f-b09d-40b22920054b 304 ::1 GET /call-logs 94.129 [Fri, 15 Oct 2021 13:25:19 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
7cfadc2a-8fee-454c-b04c-912649b37044 200 ::1 POST /call-logs 446.769 [Fri, 15 Oct 2021 13:25:41 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
fe97d48f-7060-406c-b886-71b420034b02 200 ::1 GET /call-logs 54.102 [Fri, 15 Oct 2021 13:27:36 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
8ac33bbd-2814-4279-aabc-079850a67297 200 ::1 POST /call-logs 492.296 [Fri, 15 Oct 2021 13:28:17 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
76ad0b11-e76b-4f6d-85e8-7025901d0d35 404 ::1 GET /js/bootstrap.bundle.min.js.map 13.997 [Fri, 15 Oct 2021 13:29:54 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
acf78548-c870-4bc5-a700-0f28711414eb - ::1 POST /call-logs - [Fri, 15 Oct 2021 13:30:52 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
24e293b3-8b19-465d-bf64-9757513479c6 200 ::1 GET /call-logs 55.206 [Fri, 15 Oct 2021 13:31:15 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
32b622d4-45ab-474b-9030-baa7eb18b6f4 404 ::1 GET /js/bootstrap.bundle.min.js.map 10.286 [Fri, 15 Oct 2021 13:31:25 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
a065667e-25c2-44a5-aac7-de48e36884b1 - ::1 POST /call-logs - [Fri, 15 Oct 2021 13:32:26 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
7f546889-1e56-4ede-9520-48c78780453d 304 ::1 GET /call-logs 48.368 [Fri, 15 Oct 2021 13:33:59 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
ad78dbf9-6e94-4640-b2be-b465c5713d4c 304 ::1 GET /call-logs 41.354 [Fri, 15 Oct 2021 13:34:42 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
39775025-9cdd-4c9b-b7ff-b6d77dc6cf4a 304 ::1 GET /call-logs 39.695 [Fri, 15 Oct 2021 13:36:45 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
144b6893-e958-4acb-b949-92dcca8b774a - ::1 POST /call-logs - [Fri, 15 Oct 2021 13:37:48 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
eaf3f663-f522-4161-9451-289bdb064972 304 ::1 GET /call-logs 30.026 [Fri, 15 Oct 2021 13:40:09 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
704f25e4-9951-4e27-ac95-33cdb4820b07 - ::1 POST /call-logs - [Fri, 15 Oct 2021 13:42:48 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
