4b805d52-6737-4be8-8433-d724e21a9117 200 ::1 GET /call-logs 66.188 [Sat, 16 Oct 2021 08:06:03 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
27f0383e-9dba-41b5-9152-b31d515a0226 200 ::ffff:127.0.0.1 GET /imei-check 29.043 [Sat, 16 Oct 2021 08:06:07 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
7cd3cd74-cd3c-4d34-b0cf-967443c44472 200 ::1 GET /imei-check 50.996 [Sat, 16 Oct 2021 08:39:50 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
47e64207-2081-490f-abb1-7aa69a190efd 404 ::1 GET /oldCall-logs 33.958 [Sat, 16 Oct 2021 08:39:54 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
a22be9bb-3cb9-4b91-872e-8644ffcf845f 200 ::1 GET /OldImei-check 56.354 [Sat, 16 Oct 2021 08:40:05 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
bf9a0ad9-fe7f-4898-bf31-863aafbcf381 200 ::1 GET /call-logs 48.418 [Sat, 16 Oct 2021 08:40:25 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
313f049e-891d-43ed-8ebb-f65beb8b0be6 404 ::1 GET /oldCall-logs 19.559 [Sat, 16 Oct 2021 08:40:28 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
a6d19fd5-9cc2-4acb-811e-d4341d409ecd 404 ::1 GET /oldCall-logs 18.018 [Sat, 16 Oct 2021 08:44:53 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
bc5962ab-36dc-4b4b-9c7f-c8a78068d09a 500 ::1 GET /oldCall-logs 30.230 [Sat, 16 Oct 2021 08:45:36 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
d08eea46-7352-4194-a876-da0ee9d29c2d 304 ::1 GET /call-logs 64.439 [Sat, 16 Oct 2021 08:46:28 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
01297f72-8ded-4d4a-b790-7f5ae586e7ec 304 ::1 GET /call-logs 38.529 [Sat, 16 Oct 2021 08:46:29 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/94.0.4606.81 Safari/537.36]
