200 ::1 GET / 67.162 [Tue, 26 Oct 2021 09:54:39 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
304 ::1 GET / 33.752 [Tue, 26 Oct 2021 09:54:39 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
200 ::1 GET /login 107.516 [Tue, 26 Oct 2021 09:56:20 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
302 ::1 POST /login 399.241 [Tue, 26 Oct 2021 09:56:30 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
200 ::1 GET /admin/admin-dashboard 36.411 [Tue, 26 Oct 2021 09:56:31 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
200 ::1 GET /admin/create-user 94.341 [Tue, 26 Oct 2021 09:56:35 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
302 ::1 POST /admin/create-user 448.647 [Tue, 26 Oct 2021 09:56:59 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
200 ::1 GET /admin/create-user 52.407 [Tue, 26 Oct 2021 09:56:59 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
200 ::1 GET /admin/admin-dashboard 49.412 [Tue, 26 Oct 2021 09:57:02 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
200 ::1 GET /admin/create-user 67.177 [Tue, 26 Oct 2021 10:01:25 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
200 ::1 POST /admin/create-user 72.572 [Tue, 26 Oct 2021 10:02:38 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.54 Safari/537.36]
