200 ::1 GET /call-logs 27.361 [Thu, 13 Oct 2022 06:05:04 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 9.530 [Thu, 13 Oct 2022 06:06:25 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36]
200 ::1 GET /call-logs 6.367 [Thu, 13 Oct 2022 06:07:39 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36]
200 ::1 GET /call-logs 6.508 [Thu, 13 Oct 2022 06:08:15 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36]
200 ::1 GET /call-logs 6.625 [Thu, 13 Oct 2022 06:09:44 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 7.205 [Thu, 13 Oct 2022 06:10:00 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 6.248 [Thu, 13 Oct 2022 06:10:52 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 5.159 [Thu, 13 Oct 2022 06:11:14 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 7.440 [Thu, 13 Oct 2022 06:12:02 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 5.221 [Thu, 13 Oct 2022 06:12:23 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36]
200 ::1 GET /call-logs 12.221 [Thu, 13 Oct 2022 09:18:38 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36]
200 ::1 GET /call-logs 4.462 [Thu, 13 Oct 2022 09:22:54 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36]
- ::1 POST /call-logs - [Thu, 13 Oct 2022 09:23:00 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36]
200 ::1 GET /call-logs 4.610 [Thu, 13 Oct 2022 09:23:22 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36]
200 ::1 GET /call-logs 3.606 [Thu, 13 Oct 2022 09:23:44 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36]
