200 ::1 GET /call-logs 79.049 [Tue, 01 Nov 2022 09:24:43 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 21.313 [Tue, 01 Nov 2022 09:24:49 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 7.134 [Tue, 01 Nov 2022 09:24:55 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
200 ::1 GET /imei-check 17.526 [Tue, 01 Nov 2022 09:25:01 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 14.753 [Tue, 01 Nov 2022 09:25:03 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
- - GET /imei-check - [Tue, 01 Nov 2022 09:31:35 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 17.510 [Tue, 01 Nov 2022 09:31:35 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 17.175 [Tue, 01 Nov 2022 09:46:14 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
200 ::1 GET /imei-check 17.164 [Tue, 01 Nov 2022 09:56:41 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 7.920 [Tue, 01 Nov 2022 09:56:43 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 18.541 [Tue, 01 Nov 2022 10:44:37 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 3.816 [Tue, 01 Nov 2022 10:45:24 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 8.803 [Tue, 01 Nov 2022 10:48:07 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 3.169 [Tue, 01 Nov 2022 10:48:10 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 14.694 [Tue, 01 Nov 2022 10:48:15 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 1.730 [Tue, 01 Nov 2022 10:48:15 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 3.515 [Tue, 01 Nov 2022 10:48:44 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 6.362 [Tue, 01 Nov 2022 10:49:23 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 14.636 [Tue, 01 Nov 2022 10:50:19 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 3.025 [Tue, 01 Nov 2022 10:50:19 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 3.222 [Tue, 01 Nov 2022 10:50:42 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 16.595 [Tue, 01 Nov 2022 10:55:07 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 3.789 [Tue, 01 Nov 2022 10:55:07 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 1.881 [Tue, 01 Nov 2022 10:55:22 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 2.635 [Tue, 01 Nov 2022 11:02:02 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 2.239 [Tue, 01 Nov 2022 11:02:08 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 2.828 [Tue, 01 Nov 2022 11:02:17 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 6.659 [Tue, 01 Nov 2022 11:02:36 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 3.519 [Tue, 01 Nov 2022 11:06:27 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
200 ::1 GET /oldCall-logs 10.884 [Tue, 01 Nov 2022 11:06:33 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 2.728 [Tue, 01 Nov 2022 11:06:33 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 2.414 [Tue, 01 Nov 2022 11:06:46 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 7.982 [Tue, 01 Nov 2022 11:08:03 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
