304 ::1 GET /oldCall-logs 33.284 [Thu, 03 Nov 2022 10:09:12 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 4.947 [Thu, 03 Nov 2022 10:09:12 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 34.390 [Thu, 03 Nov 2022 13:42:24 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 9.126 [Thu, 03 Nov 2022 13:42:25 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 11.167 [Thu, 03 Nov 2022 13:42:28 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 5.106 [Thu, 03 Nov 2022 13:42:28 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 7.585 [Thu, 03 Nov 2022 13:42:43 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 11.133 [Thu, 03 Nov 2022 13:43:13 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 11.424 [Thu, 03 Nov 2022 13:43:22 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 2.393 [Thu, 03 Nov 2022 13:43:22 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 POST /call-logs/generate 6.671 [Thu, 03 Nov 2022 13:43:27 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
200 ::1 GET /oldCall-logs 6.405 [Thu, 03 Nov 2022 13:45:51 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 2.975 [Thu, 03 Nov 2022 13:45:51 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
- ::1 POST /oldCall-logs - [Thu, 03 Nov 2022 13:46:30 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36]
200 ::1 GET / 34.216 [Wed, 09 Nov 2022 13:29:13 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::1 POST /login 178.645 [Wed, 09 Nov 2022 13:29:21 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /admin/admin-dashboard 20.868 [Wed, 09 Nov 2022 13:29:21 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /admin/UsersJALLOH1629083Node_appspolicePortallogaccess 3.424 [Wed, 09 Nov 2022 13:29:42 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /admin/admin-dashboard 6.874 [Wed, 09 Nov 2022 13:29:55 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::1 GET /logout 4.467 [Wed, 09 Nov 2022 13:29:58 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /login 4.404 [Wed, 09 Nov 2022 13:29:58 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::1 POST /login 107.760 [Wed, 09 Nov 2022 13:30:04 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /call-logs 5.657 [Wed, 09 Nov 2022 13:30:04 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /oldCall-logs 6.370 [Wed, 09 Nov 2022 13:30:08 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 3.266 [Wed, 09 Nov 2022 13:30:29 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
- ::1 POST /oldCall-logs - [Wed, 09 Nov 2022 13:31:05 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 14.199 [Wed, 09 Nov 2022 13:38:33 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 6.759 [Wed, 09 Nov 2022 13:38:33 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
500 ::1 POST /oldCall-logs 14.232 [Wed, 09 Nov 2022 13:38:40 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
