200 ::1 POST /oldCall-logs 7.852 [Thu, 10 Nov 2022 09:40:00 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 13.988 [Thu, 10 Nov 2022 09:41:25 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /call-logs 4.252 [Thu, 10 Nov 2022 09:42:03 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /call-logs 4.578 [Thu, 10 Nov 2022 09:42:23 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /imei-check 4.658 [Thu, 10 Nov 2022 09:42:30 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 7.411 [Thu, 10 Nov 2022 10:00:07 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 POST /call-logs 56.490 [Thu, 10 Nov 2022 10:00:18 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /call-logs 19.851 [Thu, 10 Nov 2022 10:07:52 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 17.654 [Thu, 10 Nov 2022 10:15:53 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /oldCall-logs 8.127 [Thu, 10 Nov 2022 10:15:56 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 POST /oldCall-logs 11.683 [Thu, 10 Nov 2022 10:16:10 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 POST /oldCall-logs 15.400 [Thu, 10 Nov 2022 10:17:00 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 POST /oldCall-logs 14.975 [Thu, 10 Nov 2022 10:24:41 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 4.379 [Thu, 10 Nov 2022 10:24:54 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 POST /oldCall-logs 7.296 [Thu, 10 Nov 2022 10:24:58 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 POST /oldCall-logs 16.000 [Thu, 10 Nov 2022 10:25:27 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 POST /oldCall-logs 16.430 [Thu, 10 Nov 2022 10:35:29 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /oldCall-logs 14.651 [Thu, 10 Nov 2022 10:41:13 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 4.631 [Thu, 10 Nov 2022 10:41:14 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 5.257 [Thu, 10 Nov 2022 10:41:15 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 3.287 [Thu, 10 Nov 2022 10:41:15 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 POST /call-logs 53.093 [Thu, 10 Nov 2022 10:41:24 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /call-logs 4.788 [Thu, 10 Nov 2022 10:41:29 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 4.125 [Thu, 10 Nov 2022 10:41:29 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /oldCall-logs 5.054 [Thu, 10 Nov 2022 10:41:32 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 3.080 [Thu, 10 Nov 2022 10:41:32 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 POST /oldCall-logs 9.855 [Thu, 10 Nov 2022 10:41:54 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 POST /oldCall-logs 15.810 [Thu, 10 Nov 2022 10:42:48 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 POST /oldCall-logs 15.390 [Thu, 10 Nov 2022 10:44:25 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 POST /oldCall-logs 15.385 [Thu, 10 Nov 2022 10:46:18 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 POST /oldCall-logs 16.499 [Thu, 10 Nov 2022 10:47:51 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 POST /oldCall-logs 13.426 [Thu, 10 Nov 2022 11:04:11 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 POST /oldCall-logs 16.536 [Thu, 10 Nov 2022 11:24:00 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /call-logs 24.862 [Thu, 10 Nov 2022 11:24:39 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 4.796 [Thu, 10 Nov 2022 11:24:40 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 POST /call-logs 52.022 [Thu, 10 Nov 2022 11:24:50 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /call-logs 6.261 [Thu, 10 Nov 2022 11:25:13 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 2.770 [Thu, 10 Nov 2022 11:25:13 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::1 GET /logout 6.320 [Thu, 10 Nov 2022 12:09:27 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /login 6.470 [Thu, 10 Nov 2022 12:09:27 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::1 POST /login 149.589 [Thu, 10 Nov 2022 12:09:34 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /admin/admin-dashboard 9.795 [Thu, 10 Nov 2022 12:09:34 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /admin/create-user 6.506 [Thu, 10 Nov 2022 12:09:43 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /admin/admin-dashboard 6.491 [Thu, 10 Nov 2022 12:09:46 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /admin/admin-dashboard 5.412 [Thu, 10 Nov 2022 12:10:03 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /admin/admin-dashboard 6.654 [Thu, 10 Nov 2022 12:10:05 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /admin/admin-dashboard 6.796 [Thu, 10 Nov 2022 12:10:05 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /admin/admin-dashboard 5.068 [Thu, 10 Nov 2022 12:10:05 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /admin/admin-dashboard 6.830 [Thu, 10 Nov 2022 12:10:06 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /admin/create-user 5.077 [Thu, 10 Nov 2022 12:10:07 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::1 POST /admin/create-user 158.498 [Thu, 10 Nov 2022 12:11:04 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /admin/create-user 5.391 [Thu, 10 Nov 2022 12:11:04 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /admin/admin-dashboard 4.212 [Thu, 10 Nov 2022 12:11:18 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::1 GET /logout 1.845 [Thu, 10 Nov 2022 12:11:24 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /login 4.087 [Thu, 10 Nov 2022 12:11:24 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::1 POST /login 109.770 [Thu, 10 Nov 2022 12:11:32 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::1 GET /call-logs 8.068 [Thu, 10 Nov 2022 12:11:32 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /call-logs 19.795 [Thu, 10 Nov 2022 12:20:22 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /oldCall-logs 5.819 [Thu, 10 Nov 2022 12:20:26 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 2.449 [Thu, 10 Nov 2022 12:20:40 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /oldCall-logs 6.337 [Thu, 10 Nov 2022 12:22:04 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
404 ::1 GET /js/bootstrap.bundle.min.js.map 4.096 [Thu, 10 Nov 2022 12:22:04 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::1 GET /oldCall-logs 6.213 [Thu, 10 Nov 2022 12:22:28 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
