200 ::ffff:172.25.165.41 GET / 38.210 [Tue, 29 Nov 2022 16:35:47 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET / 22.416 [Tue, 29 Nov 2022 16:45:27 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.160.27 GET / 18.276 [Tue, 29 Nov 2022 16:45:35 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.160.27 GET / 17.714 [Tue, 29 Nov 2022 16:45:45 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.160.27 GET / 17.387 [Tue, 29 Nov 2022 16:45:51 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET / 19.216 [Tue, 29 Nov 2022 16:45:58 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::ffff:172.25.160.27 POST /login 144.151 [Tue, 29 Nov 2022 16:46:07 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /call-logs 12.916 [Tue, 29 Nov 2022 16:46:07 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.160.27 GET /call-logs 14.098 [Tue, 29 Nov 2022 16:46:09 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.160.27 GET /call-logs 15.459 [Tue, 29 Nov 2022 16:46:10 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.160.27 GET /call-logs 16.534 [Tue, 29 Nov 2022 16:46:14 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
