200 ::ffff:172.25.160.27 GET / 25.367 [Wed, 30 Nov 2022 09:16:52 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET / 17.811 [Wed, 30 Nov 2022 09:17:57 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::ffff:172.25.160.27 POST /login 17.873 [Wed, 30 Nov 2022 09:18:00 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /login 12.594 [Wed, 30 Nov 2022 09:18:00 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::ffff:172.25.160.27 POST /login 143.337 [Wed, 30 Nov 2022 09:18:15 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /admin/admin-dashboard 15.723 [Wed, 30 Nov 2022 09:18:15 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.160.27 GET /admin/admin-dashboard 18.858 [Wed, 30 Nov 2022 09:21:31 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::ffff:172.25.160.27 GET /logout 9.328 [Wed, 30 Nov 2022 09:22:04 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /login 13.078 [Wed, 30 Nov 2022 09:22:04 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::ffff:172.25.160.27 POST /login 137.845 [Wed, 30 Nov 2022 09:22:17 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /call-logs 13.337 [Wed, 30 Nov 2022 09:22:17 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.160.27 GET /call-logs 17.248 [Wed, 30 Nov 2022 09:23:03 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::ffff:172.25.160.27 GET /logout 9.379 [Wed, 30 Nov 2022 09:23:09 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /login 12.661 [Wed, 30 Nov 2022 09:23:09 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET /login 17.844 [Wed, 30 Nov 2022 09:23:12 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
302 ::ffff:172.25.160.27 POST /login 141.404 [Wed, 30 Nov 2022 09:23:24 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.160.27 GET /admin/admin-dashboard 14.479 [Wed, 30 Nov 2022 09:23:24 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
304 ::ffff:172.25.160.27 GET /admin/admin-dashboard 17.004 [Wed, 30 Nov 2022 09:23:27 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
200 ::ffff:172.25.160.27 GET / 21.853 [Wed, 30 Nov 2022 09:25:46 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 Edg/107.0.1418.56]
200 ::ffff:172.25.160.27 GET / 19.727 [Wed, 30 Nov 2022 09:27:58 GMT] - [Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36]
